model_id,alternative_name,category,split,quality,sysml_path,source_text_path,likert_score,similarity_percent,source_structure_score,source_behavior_score,source_data_score,token_recall_percent,readiness_percent,readiness_band,l1_structural_score,l2_behavioral_score,l3_property_score,observability_score,repair_score,sequence_validity,tradespace_score,recommendation,source_keys
837,sysml_model_0837,industrial,agent,B,data/000837/000837.sysml,data/000837/000837.txt,4,66.3,78.5,66.5,39.1,65.8,88.6,SENTINEL-Ready,100.0,68.1,87.3,100.0,97.0,99.2%,83.0,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
838,sysml_model_0838,industrial,agent,B,data/000838/000838.sysml,data/000838/000838.txt,4,68.9,89.5,54.7,46.2,69.8,87.7,SENTINEL-Ready,95.0,83.1,75.7,99.8,92.9,99.2%,82.9,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
839,sysml_model_0839,industrial,agent,B,data/000839/000839.sysml,data/000839/000839.txt,4,75.5,93,55.4,69.1,76.9,92.1,SENTINEL-Ready,100.0,86.7,89.8,96.0,85.9,99.4%,87.9,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
840,sysml_model_0840,industrial,agent,B,data/000840/000840.sysml,data/000840/000840.txt,3,57.8,76.3,44.9,34.9,60.4,91.1,SENTINEL-Ready,100.0,81.2,84.0,99.9,97.7,99.7%,82.7,promising with targeted maturation,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
841,sysml_model_0841,industrial,agent,B,data/000841/000841.sysml,data/000841/000841.txt,4,82.8,92.7,76.1,63.9,87.9,93.0,SENTINEL-Ready,100.0,88.3,84.4,100.0,98.2,100.0%,90.4,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
842,sysml_model_0842,industrial,agent,B,data/000842/000842.sysml,data/000842/000842.txt,4,73.1,81.3,70,53.5,77.2,93.0,SENTINEL-Ready,100.0,89.7,83.2,100.0,98.2,100.0%,88.0,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
843,sysml_model_0843,industrial,agent,B,data/000843/000843.sysml,data/000843/000843.txt,4,73.6,96,56.7,44.3,79.2,83.8,Simulation-Ready,95.0,74.6,75.4,93.0,85.8,99.5%,81.2,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
844,sysml_model_0844,industrial,agent,B,data/000844/000844.sysml,data/000844/000844.txt,1,0,,,,0,,,,,,,,,0.0,low priority,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
845,sysml_model_0845,industrial,agent,B,data/000845/000845.sysml,data/000845/000845.txt,4,70.5,92.5,54.5,42.1,74.9,84.2,Simulation-Ready,95.0,77.7,74.7,92.0,85.7,99.6%,80.7,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
846,sysml_model_0846,energy,agent,B,data/000846/000846.sysml,data/000846/000846.txt,4,74,96,58.6,43.1,79.5,92.6,SENTINEL-Ready,100.0,77.0,94.0,100.0,98.1,99.0%,87.9,frontier candidate,local_model_similarity_scores;local_simulation_readiness_scores;omg_sysml_v2;nasa_systems_engineering_handbook_trade_studies;nasa_systems_modeling_handbook
